instance,toulbar2,tb2incop,mplp2,cplexdirect,cplextuple
WCSP/Auction/cat_sched_60_160_0001.uai,65.77,67.62,1167.31,4.73,4.04
WCSP/Auction/cat_paths_60_170_0007.uai,117.51,360.27,1200.0,1.9,1.66
WCSP/Auction/cat_paths_60_120_0007.uai,8.19,10.36,1200.0,0.26,0.22
WCSP/Auction/cat_sched_60_110_0005.uai,1.41,2.81,1200.0,3.08,2.6
WCSP/Auction/cat_sched_60_140_0002.uai,139.12,140.68,1200.0,4.55,3.91
WCSP/Auction/cat_sched_60_200_0005.uai,186.81,190.3,1200.0,7.62,6.29
WCSP/Auction/cat_paths_60_110_0005.uai,4.98,7.21,1200.0,0.9,0.64
WCSP/Auction/cat_paths_60_70_0006.uai,0.07,0.79,1200.0,0.13,0.13
WCSP/Auction/cat_paths_60_80_0007.uai,0.88,2.13,1200.0,0.46,0.16
WCSP/Auction/cat_sched_60_120_0005.uai,9.51,11.36,1056.59,4.53,3.17
WCSP/Auction/cat_sched_60_130_0000.uai,12.18,15.79,1161.49,5.18,4.32
WCSP/Auction/cat_sched_60_140_0000.uai,13.62,17.41,1200.0,4.66,3.57
WCSP/Auction/cat_sched_60_190_0003.uai,98.22,106.38,1200.0,4.8,3.8
WCSP/Auction/cat_paths_60_80_0001.uai,0.13,1.03,1200.0,0.17,0.2
WCSP/Auction/cat_paths_60_130_0000.uai,7.99,9.91,1200.0,1.05,0.66
WCSP/Auction/cat_sched_60_110_0004.uai,2.49,4.19,1022.93,2.67,2.24
WCSP/Auction/cat_sched_60_80_0001.uai,0.24,1.41,1200.0,1.9,0.85
WCSP/Auction/cat_paths_60_110_0007.uai,3.02,3.37,1200.0,0.47,0.23
WCSP/Auction/cat_paths_60_160_0005.uai,558.21,495.68,1200.0,1.05,0.67
WCSP/Auction/cat_paths_60_70_0001.uai,0.07,0.82,1200.0,0.4,0.08
WCSP/Auction/cat_paths_60_90_0003.uai,0.55,1.36,1200.0,0.48,0.17
WCSP/Auction/cat_sched_60_120_0000.uai,8.1,11.35,1112.97,4.9,3.79
WCSP/Auction/cat_sched_60_120_0002.uai,3.32,5.7,1070.31,3.94,3.08
WCSP/Auction/cat_paths_60_110_0003.uai,1.17,2.61,1200.0,0.58,0.21
WCSP/Auction/cat_paths_60_160_0003.uai,322.0,392.25,1200.0,2.01,1.84
WCSP/Auction/cat_paths_60_110_0006.uai,1.85,4.14,1200.0,0.65,0.3
WCSP/Auction/cat_paths_60_90_0004.uai,0.22,1.1,1200.0,0.47,0.15
WCSP/Auction/cat_sched_60_120_0004.uai,3.52,6.35,1094.44,5.02,4.14
WCSP/Auction/cat_sched_60_160_0003.uai,10.41,12.35,1200.0,4.34,4.04
WCSP/Auction/cat_sched_60_190_0000.uai,68.52,82.55,1200.0,9.39,9.63
WCSP/Auction/cat_sched_60_190_0001.uai,366.89,407.14,1200.0,5.78,4.95
WCSP/Auction/cat_sched_60_70_0000.uai,0.22,1.81,957.26,2.09,1.91
WCSP/Auction/cat_sched_60_130_0002.uai,11.39,15.41,1200.0,3.88,3.51
WCSP/Auction/cat_paths_60_100_0001.uai,3.89,5.92,1200.0,0.25,0.22
WCSP/Auction/cat_sched_60_130_0003.uai,2.87,4.34,1039.98,3.25,3.14
WCSP/Auction/cat_sched_60_80_0002.uai,2.26,4.14,1200.0,2.81,2.39
WCSP/Auction/cat_paths_60_110_0004.uai,7.59,9.69,1200.0,0.24,0.2
WCSP/Auction/cat_sched_60_80_0004.uai,0.43,2.36,1200.0,2.51,2.32
WCSP/Auction/cat_sched_60_110_0000.uai,3.68,5.45,1077.96,5.02,4.06
WCSP/Auction/cat_paths_60_110_0002.uai,1.1,2.86,1200.0,0.31,0.27
WCSP/Auction/cat_paths_60_130_0004.uai,30.68,31.66,1200.0,0.56,0.5
WCSP/Auction/cat_paths_60_80_0002.uai,0.04,0.87,1200.0,0.13,0.11
WCSP/Auction/cat_paths_60_80_0006.uai,0.13,1.14,1200.0,0.17,0.12
WCSP/Auction/cat_paths_60_90_0006.uai,0.31,1.67,1200.0,0.19,0.16
WCSP/Auction/cat_paths_60_130_0003.uai,26.11,25.68,1200.0,0.56,0.56
WCSP/Auction/cat_paths_60_130_0006.uai,15.4,22.95,1200.0,0.7,0.71
WCSP/Auction/cat_paths_60_100_0006.uai,0.7,1.6,1200.0,0.36,0.34
WCSP/Auction/cat_sched_60_90_0005.uai,0.25,1.85,1200.0,2.04,1.93
WCSP/Auction/cat_paths_60_170_0006.uai,419.02,527.18,1200.0,2.25,2.1
WCSP/Auction/cat_sched_60_140_0001.uai,5.81,7.93,1145.03,7.4,6.08
WCSP/Auction/cat_sched_60_70_0003.uai,0.12,1.27,950.66,1.64,1.52
WCSP/Auction/cat_sched_60_90_0004.uai,0.19,2.04,1200.0,2.67,2.28
WCSP/Auction/cat_paths_60_80_0000.uai,0.25,1.15,1200.0,0.16,0.14
WCSP/Auction/cat_sched_60_160_0000.uai,5.42,7.43,1200.0,3.69,3.12
WCSP/Auction/cat_paths_60_170_0005.uai,1167.51,1190.18,1200.0,0.66,0.59
WCSP/Auction/cat_sched_60_110_0002.uai,1.64,3.3,1076.84,3.02,2.81
WCSP/Auction/cat_sched_60_170_0005.uai,77.61,77.98,1200.0,10.41,7.72
WCSP/Auction/cat_sched_60_190_0004.uai,405.9,401.94,1200.0,8.31,7.2
WCSP/Auction/cat_paths_60_140_0005.uai,41.24,52.41,1200.0,0.63,0.57
WCSP/Auction/cat_paths_60_80_0004.uai,0.03,0.55,1200.0,0.18,0.18
WCSP/Auction/cat_sched_60_100_0004.uai,0.32,1.79,1200.0,2.36,2.28
WCSP/Auction/cat_sched_60_90_0003.uai,0.34,1.87,1200.0,1.99,1.9
WCSP/Auction/cat_paths_60_170_0000.uai,378.8,493.41,1200.0,2.29,1.74
WCSP/Auction/cat_sched_60_140_0005.uai,8.75,12.2,1086.94,3.95,3.42
WCSP/Auction/cat_sched_60_160_0005.uai,36.08,36.64,1108.45,4.45,3.87
WCSP/Auction/cat_paths_60_120_0003.uai,1.91,3.91,1200.0,0.5,0.52
WCSP/Auction/cat_paths_60_160_0004.uai,145.32,101.73,1200.0,2.13,2.16
WCSP/Auction/cat_paths_60_70_0000.uai,0.03,0.83,1200.0,0.17,0.15
WCSP/Auction/cat_sched_60_150_0001.uai,7.07,7.81,1128.72,5.51,4.49
WCSP/Auction/cat_sched_60_80_0003.uai,0.75,2.14,1200.0,2.11,2.14
WCSP/Auction/cat_sched_60_140_0004.uai,175.07,187.09,1200.0,4.8,4.47
WCSP/Auction/cat_paths_60_110_0001.uai,0.46,2.26,1200.0,0.51,0.46
WCSP/Auction/cat_paths_60_160_0001.uai,58.94,75.18,1200.0,1.61,1.53
WCSP/Auction/cat_paths_60_150_0005.uai,86.38,72.28,1200.0,0.79,0.68
WCSP/Auction/cat_sched_60_160_0004.uai,11.43,13.9,1200.0,3.92,3.4
WCSP/Auction/cat_sched_60_180_0004.uai,1200.0,1190.38,1200.0,4.76,4.79
WCSP/Auction/cat_sched_60_130_0005.uai,5.23,7.4,1055.47,3.74,3.41
WCSP/Auction/cat_paths_60_90_0002.uai,0.54,1.59,1200.0,0.52,0.51
WCSP/Auction/cat_paths_60_100_0003.uai,1.01,1.97,1200.0,0.3,0.28
WCSP/Auction/cat_sched_60_150_0000.uai,4.02,6.43,1074.75,5.37,4.71
WCSP/Auction/cat_paths_60_160_0007.uai,656.77,522.22,1200.0,0.86,0.78
WCSP/Auction/cat_sched_60_90_0002.uai,0.25,1.89,1200.0,2.13,1.92
WCSP/Auction/cat_sched_60_110_0001.uai,1.25,3.21,1041.89,4.5,3.65
WCSP/Auction/cat_paths_60_140_0000.uai,11.74,11.88,1200.0,0.8,0.76
WCSP/Auction/cat_sched_60_180_0000.uai,79.88,84.85,1200.0,6.86,5.82
WCSP/Auction/cat_sched_60_180_0002.uai,181.71,213.98,1200.0,6.66,6.18
WCSP/Auction/cat_paths_60_90_0007.uai,0.95,1.93,1200.0,0.2,0.2
WCSP/Auction/cat_sched_60_200_0000.uai,146.79,140.4,1200.0,13.87,11.37
WCSP/Auction/cat_paths_60_120_0005.uai,15.18,17.45,1200.0,0.32,0.28
WCSP/Auction/cat_sched_60_190_0002.uai,244.45,245.41,1200.0,8.97,7.92
WCSP/Warehouse/cap84.uai,0.07,0.8,16.38,2.8,2.95
WCSP/Warehouse/capmp4.uai,742.49,1300.84,1200.0,1200.0,1200.0
WCSP/Warehouse/cap131.uai,0.29,2.04,85.82,12.25,17.06
WCSP/Warehouse/capc.uai,1200.0,1356.01,1200.0,1200.0,1200.0
WCSP/Warehouse/cap82.uai,0.07,1.11,15.85,2.79,3.66
WCSP/Warehouse/cap81.uai,0.07,1.11,14.25,2.85,3.59
WCSP/Warehouse/cap104.uai,0.07,1.11,14.49,2.97,2.74
